word,categories,cefr,meaning_ko,meaning_en,meaning_tr,example
안녕,Communication/Greeting,A1,안녕,hello,merhaba,"안녕, 톰."
네,Communication/Answer,A1,네,yes,evet,"네, 부탁해요."
아니요,Communication/Answer,A1,아니요,no,hayır,"아니요, 괜찮아요."
부탁,Communication/Polite,A1,부탁,please,lütfen,여기에 앉아 주세요.
감사,Communication/Polite,A1,감사,thanks,teşekkürler,도와줘서 감사해요.
미안,Communication/Polite,A1,미안,sorry,üzgünüm,늦어서 미안해요.
이름,People/Identity,A1,이름,name,isim,제 이름은 미나예요.
친구,People/Relationship,A1,친구,friend,arkadaş,그녀는 내 친구예요.
가족,People/Family,A1,가족,family,aile,우리 가족은 작아요.
어머니,People/Family,A1,어머니,mother,anne,어머니는 친절해요.
아버지,People/Family,A1,아버지,father,baba,아버지는 키가 커요.
여동생,People/Family,A1,여동생,sister,kız kardeş,나는 여동생이 하나 있어요.
남동생,People/Family,A1,남동생,brother,erkek kardeş,내 남동생은 어려요.
아기,People/Family,A1,아기,baby,bebek,아기가 자고 있어요.
아이,People/Family,A1,아이,child,çocuk,그 아이는 행복해요.
남자,People/Person,A1,남자,man,adam,그 남자는 의사예요.
여자,People/Person,A1,여자,woman,kadın,그 여자는 선생님이에요.
소년,People/Person,A1,소년,boy,oğlan,그 소년은 빨리 달려요.
소녀,People/Person,A1,소녀,girl,kız,그 소녀는 노래를 잘해요.
몸,Body/General,A1,몸,body,vücut,몸은 휴식이 필요해요.
머리,Body/Parts,A1,머리,head,baş,머리가 아파요.
눈,Body/Parts,A1,눈,eye,göz,그녀의 눈은 커요.
귀,Body/Parts,A1,귀,ear,kulak,귀가 차가워요.
코,Body/Parts,A1,코,nose,burun,그의 코는 작아요.
입,Body/Parts,A1,입,mouth,ağız,입을 여세요.
손,Body/Parts,A1,손,hand,el,손을 씻으세요.
다리,Body/Parts,A1,다리,leg,bacak,다리가 피곤해요.
발,Body/Parts,A1,발,foot,ayak,발이 젖었어요.
심장,Body/Parts,A1,심장,heart,kalp,그녀의 심장은 건강해요.
집,Places/Home,A1,집,home,ev,지금 집에 가요.
주택,Places/Home,A1,주택,house,ev,그 집은 하얘요.
방,Places/Home/Rooms,A1,방,room,oda,내 방은 깨끗해요.
문,Places/Home/Objects,A1,문,door,kapı,문을 닫아요.
창문,Places/Home/Objects,A1,창문,window,pencere,창문이 열려 있어요.
침대,Places/Home/Furniture,A1,침대,bed,yatak,침대가 부드러워요.
의자,Places/Home/Furniture,A1,의자,chair,sandalye,의자에 앉아요.
테이블,Places/Home/Furniture,A1,테이블,table,masa,테이블이 커요.
학교,Places/School,A1,학교,school,okul,학교가 가까워요.
선생님,People/School,A1,선생님,teacher,öğretmen,선생님이 친절해요.
학생,People/School,A1,학생,student,öğrenci,학생이 책을 읽어요.
책,Objects/School,A1,책,book,kitap,나는 책이 있어요.
펜,Objects/School,A1,펜,pen,kalem,이 펜은 새 거예요.
가방,Objects/School|Objects/Personal,A1,가방,bag,çanta,내 가방은 무거워요.
전화기,Objects/Personal,A1,전화기,phone,telefon,내 전화기는 여기 있어요.
컴퓨터,Objects/Personal|Objects/Technology,A1,컴퓨터,computer,bilgisayar,컴퓨터가 켜져 있어요.
음식,Food/General,A1,음식,food,yemek,음식이 뜨거워요.
물,Food/Drink|Nature/Water,A1,물,water,su,나는 물을 마셔요.
우유,Food/Drink,A1,우유,milk,süt,나는 우유를 좋아해요.
빵,Food/Staple,A1,빵,bread,ekmek,우리는 빵을 먹어요.
쌀,Food/Staple,A1,쌀,rice,pirinç,쌀이 테이블에 있어요.
계란,Food/Protein,A1,계란,egg,yumurta,나는 계란을 요리해요.
사과,Food/Fruit,A1,사과,apple,elma,사과가 빨개요.
바나나,Food/Fruit,A1,바나나,banana,muz,바나나는 노랗아요.
오렌지,Food/Fruit,A1,오렌지,orange,portakal,나는 오렌지를 까요.
설탕,Food/Ingredient,A1,설탕,sugar,şeker,설탕을 조금 넣어요.
커피,Food/Drink,A1,커피,coffee,kahve,나는 커피를 마셔요.
차,Food/Drink,A1,차,tea,çay,우리는 차를 마셔요.
소금,Food/Ingredient,A1,소금,salt,tuz,소금을 조금 사용하세요.
고기,Food/Protein,A1,고기,meat,et,고기가 익었어요.
생선,Food/Protein|Animals/Sea,A1,생선,fish,balık,생선이 신선해요.
고양이,Animals/Pet,A1,고양이,cat,kedi,고양이가 자요.
개,Animals/Pet,A1,개,dog,köpek,개가 친절해요.
